Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,88.4,-85.395,-90.0,top
C2,10uF,C_0805_2012Metric,93.575,-85.5,-90.0,top
C3,10uF,C_0805_2012Metric,95.9,-121.45,0.0,top
C4,10nF,C_0805_2012Metric,95.9,-124.15,0.0,top
C5,1uF,C_0805_2012Metric,96.275,-130.625,0.0,top
FAN1,1.25-2P,CONN-SMD_1.25-2P,116.375,-100.375,180.0,top
J1,P2.5,CONN-SMD_ZH1.5-4AB,106.3925,-84.175,-90.0,top
LED1,D10,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,102.3,-118.825,0.0,bottom
LED2,D11,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,102.3,-108.9,0.0,bottom
LED3,D12,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,102.3,-98.9,0.0,bottom
LED4,D13,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,102.3,-87.725,0.0,bottom
Q1,AO3400A_C347475,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,110.9,-104.225,180.0,top
Q2,BSD840NH6327XTSA1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,97.525,-84.0,-90.0,top
Q3,BSS138,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,106.3,-123.675,180.0,top
R1,5.1k,R_0603_1608Metric,99.8,-143.75,90.0,top
R10,10k,R_0603_1608Metric,105.1,-111.675,180.0,top
R11,5.1k,R_0603_1608Metric,96.275,-133.1,180.0,top
R12,5.1k,R_0603_1608Metric,90.45,-100.475,-90.0,top
R13,5.1k,R_0603_1608Metric,93.45,-100.475,-90.0,top
R14,10k,R_0603_1608Metric,103.85,-127.3,0.0,top
R15,1k,R_0603_1608Metric,108.2,-127.275,180.0,top
R16,100k,R_0603_1608Metric,109.6,-133.1,-90.0,top
R2,10k,R_0603_1608Metric,112.425,-80.825,-90.0,top
R3,100k,R_0603_1608Metric,106.85,-103.275,0.0,top
R4,100k,R_0603_1608Metric,107.65,-105.9,-90.0,top
R5,5.1k,R_0603_1608Metric,104.6,-143.75,90.0,top
R6,100k,R_0603_1608Metric,105.35,-136.95,90.0,top
R7,10k,R_0603_1608Metric,105.1,-109.75,180.0,top
R8,10k,R_0603_1608Metric,98.7,-86.975,0.0,top
R9,10k,R_0603_1608Metric,100.1,-80.8,0.0,top
SW1,RESET Swtich,SW-SMD_L3.9-W3.0-P4.45,94.825,-139.0,90.0,top
SW2,BOOT Switch,SW-SMD_L3.9-W3.0-P4.45,109.825,-139.0,90.0,top
U1,SMD0805-20,OPTO-SMD_SMD0805-20,102.12,-83.49,0.0,bottom
U2,D1,SOD-123_L2.7-W1.6-LS3.7-RD-1,102.325,-139.975,-90.0,top
U3,1N5819,SOD-323_L1.7-W1.3-LS2.6-RD-1,116.35,-105.775,180.0,top
U4,RT9080-33GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,102.35,-134.2,0.0,top
U6,ESP32-C6-MINI-1-N4,WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,95.945,-111.45,90.0,top
USB1,GT-USB-7055BB,USB-C-TH_GT-USB-7055BB,102.375,-150.025,0.0,top
